Feedback_ID,Feedback_Text
F02822,"I'm really impressed with how top-notch the the app's user interface is. Keep up the great work, Angel One!"
F03957,Excellent platform for trading.
F02437,Love the new update! So much better.
F08388,The support team could not resolve my issue after multiple calls. My problem with frequent crashes is still unresolved after a week.
F05658,The app has notification bugs.
F08768,Fix the chart glitches immediately!
F09666,The support team could not resolve my issue after multiple calls. My problem with chart glitches is still unresolved after a week.
F02274,The website's layout is fantastic.
F00421,Love the new update! So much better.
F06928,The app has slow loading times.
F00467,Excellent platform for trading.
F00061,"Finally, a trading app with a clean and user-friendly interface. Highly recommended!"
F05814,The app has a confusing UI.
F07702,The support team could not resolve my issue after multiple calls. My problem with slow loading times is still unresolved after a week.
F00671,"I'm really impressed with how intuitive the the app's user interface is. Keep up the great work, Angel One!"
F02820,"Using Angel One has been a great experience. Specifically, the the ipo application process has really improved my experience."
F05178,The latest update is full of bugs. The high latency is making the app unusable.
F07838,The app has incorrect data display.
F06541,Fix the slow loading times immediately!
F03755,Great app! Very top-notch.
F06657,I'm constantly facing order execution delays. It needs an urgent fix.
F00136,Excellent platform for trading.
F09747,Very disappointed with the performance. This makes trading very difficult. because of high latency.
F09075,"Terrible user interface, very hard to navigate."
F06293,The app has chart glitches.
F01820,Love the new update! So much better.
F02401,"I'm really impressed with how reliable the the portfolio tracking feature is. Keep up the great work, Angel One!"
F02960,"Using Angel One has been a great experience. Specifically, the the stock screener makes trading so much easier."
F08662,The app has notification bugs.
F06966,The support team could not resolve my issue after multiple calls. My problem with chart glitches is still unresolved after a week.
F06590,The latest update is full of bugs. The chart glitches is making the app unusable.
F05900,It's impossible to get a human on the line for support. My problem with slow loading times is still unresolved after a week.
F04054,GTT orders is seamless. is a game-changer for me.
F08098,The app has slow loading times.
F09425,The latest update is full of bugs. The fund withdrawal issues is making the app unusable.
F02953,"Finally, a trading app with a clean and fast interface. Highly recommended!"
F04503,Excellent platform for trading.
F04379,"I'm really impressed with how intuitive the order placement is. Keep up the great work, Angel One!"
F05867,Fix the fund withdrawal issues immediately!
F04461,Excellent platform for trading.
F06850,Fix the login problems immediately!
F04050,Love the new update! So much better.
F03870,GTT orders is user-friendly. makes trading so much easier.
F00647,The website's layout is intuitive. is exactly what I was looking for.
