Feedback_ID,Feedback_Text
Z03834,"I'm really impressed with the the tradingview charts. Keep up the great work, Zerodha team!"
Z02789,Kite is so clean. The the gtt order feature is a key reason I use Zerodha.
Z04405,"I'm really impressed with the kite's user interface. Keep up the great work, Zerodha team!"
Z06647,Very unhappy with the platform today. It needs to be addressed immediately. because of fund withdrawal processing time.
Z04522,The minimalist and minimalist design of Kite is perfect for focused trading. Highly recommended!
Z05901,"The UI is clean, but the app is useless if I can't log in."
Z08198,Why does Kite always have fund withdrawal processing time during market open? This is unacceptable.
Z05664,Very unhappy with the platform today. This is frustrating for a frequent trader. because of delayed market data.
Z08482,"The recent update seems to have caused more problems, especially the app logging me out automatically."
Z00170,"I'm really impressed with the the console dashboard. Keep up the great work, Zerodha team!"
Z00373,Kite is so minimalist. The the kite connect api is the best in the market.
Z07160,Please fix the login issues during peak hours!
Z05040,Kite has serious the lack of a specific indicator.
Z06303,Please fix the fund withdrawal processing time!
Z00061,Zerodha's the console dashboard is reliable. works perfectly every time.
Z04444,Kite is so blazing fast. The order execution speed works perfectly every time.
Z08343,Why does Kite always have login issues during peak hours during market open? This is unacceptable.
Z03290,Kite is so minimalist. The the kite connect api makes trading a breeze.
Z00499,The minimalist and minimalist design of Kite is perfect for focused trading. Highly recommended!
Z00555,Zerodha's the tradingview charts is user-friendly. has significantly improved my trading discipline.
Z03097,The GTT order feature is fantastic.
Z03440,"I'm really impressed with the the search function. Keep up the great work, Zerodha team!"
Z07212,"The recent update seems to have caused more problems, especially the lack of a specific indicator."
Z02411,The TradingView charts is fantastic.
Z03602,Love the incredibly smooth UI of Kite!
Z06266,"The recent update seems to have caused more problems, especially problems with Console reports."
Z05075,"The recent update seems to have caused more problems, especially GTT order trigger failures."
Z08589,"The UI is clean, but the app is useless if I can't log in."
Z04794,Zerodha's the kite connect api is top-notch. is a key reason I use Zerodha.
Z00175,Love the clean UI of Kite!
Z08892,"The UI is clean, but the app is useless if I can't log in."
Z02784,Kite is so excellent. The the console dashboard is the best in the market.
Z06221,Why does Kite always have customer support delays during market open? This is unacceptable.
Z07241,Kite has serious the lack of a specific indicator.
Z09342,Why does Kite always have delayed market data during market open? This is unacceptable.
Z08620,Very unhappy with the platform today. I'm thinking of moving to a different broker due to this. because of customer support delays.
Z08785,Kite has serious fund withdrawal processing time.
Z04233,"I'm really impressed with the the kite connect api. Keep up the great work, Zerodha team!"
Z08060,Very unhappy with the platform today. It's becoming very unreliable. because of the lack of a specific indicator.
Z00547,"Best trading platform in India, hands down."
Z00668,Kite is so user-friendly. The the gtt order feature has significantly improved my trading discipline.
Z04527,Love the incredibly smooth UI of Kite!
Z00767,"I'm really impressed with the the minimalist design. Keep up the great work, Zerodha team!"
Z02569,"I'm really impressed with the the search function. Keep up the great work, Zerodha team!"
Z01984,"Best trading platform in India, hands down."
Z01709,Love the blazing fast UI of Kite!
Z03177,The search function is fantastic.
Z03556,Zerodha's the kite connect api is user-friendly. is the best in the market.
Z01729,"Best trading platform in India, hands down."
Z06057,Why does Kite always have GTT order trigger failures during market open? This is unacceptable.
Z09107,"The UI is clean, but the app is useless if I can't log in."
Z06618,Why does Kite always have occasional chart freezes during market open? This is unacceptable.
Z07700,Please fix the occasional chart freezes!
Z01558,The minimalist and clean design of Kite is perfect for focused trading. Highly recommended!
Z00350,Love the minimalist UI of Kite!
Z08055,I am tired of facing fund withdrawal processing time. It needs to be addressed immediately.
Z00957,Kite's user interface is fantastic.
Z00669,The overall stability is fantastic.
Z07315,The support team seems to use scripted answers and doesn't solve the actual problem. My issue regarding fund withdrawal processing time remains unsolved.
Z04092,Love the efficient UI of Kite!
Z05966,Why does Kite always have the app logging me out automatically during market open? This is unacceptable.
Z03519,"Best trading platform in India, hands down."
Z04058,Love the blazing fast UI of Kite!
Z07689,I am tired of facing login issues during peak hours. It's becoming very unreliable.
Z02359,"I'm really impressed with the the gtt order feature. Keep up the great work, Zerodha team!"
Z01591,The GTT order feature is fantastic.
Z04239,"Best trading platform in India, hands down."
Z01116,The minimalist and blazing fast design of Kite is perfect for focused trading. Highly recommended!
Z06855,The phone support line is always busy. My issue regarding GTT order trigger failures remains unsolved.
Z03296,"Best trading platform in India, hands down."
Z09592,"The recent update seems to have caused more problems, especially the lack of a specific indicator."
Z08484,Please fix the occasional chart freezes!
Z06682,"The UI is clean, but the app is useless if I can't log in."
Z04987,The Kite Connect API is fantastic.
Z02208,"I'm really impressed with the the kite connect api. Keep up the great work, Zerodha team!"
Z01824,Kite is so blazing fast. The the overall stability makes trading a breeze.
Z06567,I am tired of facing customer support delays. I missed out on a key trade.
Z07189,Please fix the login issues during peak hours!
Z06678,Why does Kite always have delayed market data during market open? This is unacceptable.
Z02118,"Best trading platform in India, hands down."
